"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0060326","GO:0060326","cell chemotaxis","16/112","303/23328",1.37047366438948e-12,2.40112017969743e-09,1.6323192321588e-09,"Pf4/Cxcl13/Ccl12/C5ar1/Lgmn/Aif1/Csf1r/Cx3cr1/C3ar1/Pla2g7/Gas6/Vcam1/Ccl24/Arrb2/Fcgr3/Cmklr1",16
"GO:0030595","GO:0030595","leukocyte chemotaxis","14/112","219/23328",2.90575253694727e-12,2.40112017969743e-09,1.6323192321588e-09,"Pf4/Cxcl13/Ccl12/C5ar1/Lgmn/Aif1/Csf1r/Cx3cr1/C3ar1/Pla2g7/Gas6/Ccl24/Fcgr3/Cmklr1",14
"GO:0097529","GO:0097529","myeloid leukocyte migration","14/112","219/23328",2.90575253694727e-12,2.40112017969743e-09,1.6323192321588e-09,"Pf4/Cxcl13/Ccl12/C5ar1/Cd81/Lgmn/Aif1/Csf1r/Cx3cr1/C3ar1/Pla2g7/Ccl24/Fcgr3/Cmklr1",14
"GO:0002687","GO:0002687","positive regulation of leukocyte migration","12/112","156/23328",1.29577017095395e-11,8.03053563448709e-09,5.45928432551913e-09,"Cxcl13/Ccl12/C5ar1/Lgmn/Aif1/Csf1r/Cx3cr1/C3ar1/Pla2g7/Gas6/Ccl24/Cmklr1",12
"GO:0050900","GO:0050900","leukocyte migration","16/112","360/23328",1.84427069938335e-11,9.14389412754266e-09,6.21616292571105e-09,"Pf4/Cxcl13/Ccl12/C5ar1/Cd81/Lgmn/Aif1/Csf1r/Cx3cr1/C3ar1/Pla2g7/Gas6/Vcam1/Ccl24/Fcgr3/Cmklr1",16
"GO:0002685","GO:0002685","regulation of leukocyte migration","13/112","217/23328",4.11445917498977e-11,1.69995738246661e-08,1.15565774371204e-08,"Cxcl13/Ccl12/C5ar1/Cd81/Lgmn/Aif1/Csf1r/Cx3cr1/C3ar1/Pla2g7/Gas6/Ccl24/Cmklr1",13
"GO:0070371","GO:0070371","ERK1 and ERK2 cascade","15/112","325/23328",4.86687787566611e-11,1.72357003625375e-08,1.1717099968333e-08,"Apoe/Ccl12/C5ar1/Igf1/Jun/Csf1r/Gas6/Dab2/Atf3/Zfp36l1/Klf4/Trf/Ccl24/Arrb2/Atp6v0c",15
"GO:0002688","GO:0002688","regulation of leukocyte chemotaxis","10/112","121/23328",3.50456507711244e-10,1.08597710327022e-07,7.38264301112764e-08,"Cxcl13/Ccl12/C5ar1/Lgmn/Aif1/Csf1r/C3ar1/Pla2g7/Gas6/Cmklr1",10
"GO:0071674","GO:0071674","mononuclear cell migration","9/112","89/23328",4.51119726928278e-10,1.24258422561689e-07,8.44728283990846e-08,"Ccl12/C5ar1/Lgmn/Aif1/Csf1r/C3ar1/Pla2g7/Ccl24/Cmklr1",9
"GO:0002690","GO:0002690","positive regulation of leukocyte chemotaxis","9/112","96/23328",8.94890036312287e-10,2.21843240001816e-07,1.50812520856418e-07,"Cxcl13/C5ar1/Lgmn/Aif1/Csf1r/C3ar1/Pla2g7/Gas6/Cmklr1",9
